Hash;Count;Manufacturer;Model;Year From;Year To;Horsepower;Fuel Type
b7470791cd98563af6d87bc1d8e4307bc0c9f1abf7e9421260f49005f57da286;2;Chevrolet;Camaro;2019;2020;453 hp;Benzin
b65a850c4e94ec3d419a94c95eced1760e5c59002615a8d010555ed553c07e5b;2;BMW;430;2022;2022;245 hp;Benzin
250799913949d217fa309722d3e4cc497b590cb62e74f8d08d0073faf43d70de;2;Chevrolet;Camaro;2022;2023;275 hp;Benzin
dd3daeabf7b36e1ebbf6ad995180fa46528f4f59f3e03e753433e0ae1fe46af8;2;Genesis;G70;2023;2023;245 hp;Benzin
a70ee017b8abeddcd0464cad9c6d7a1d0073e5a57a97ac310ab9f0dffc39c27c;2;Ford;Mustang;2024;2024;446 hp;Benzin
1e8365f3b6382373d2c6eab8362a13df5201c6bd8350a893c5ee6601f1eb203f;2;Dodge;Challenger;2020;2021;309 hp;Benzin
9a9ad2d143c4dab84dea56dd7e95fd1889b50dfc49da63d6b7e518d67eb022c2;2;Toyota;Supra;2021;2021;258 hp;Benzin
3eef6a250de5e7adc4c7a79b1514b84379ba3b57387c5a95e1bd4228aa2cde6b;2;Volkswagen;Passat;2024;2024;320 hp;Benzin
6ebfd74604534d354177af043d580a733e820646fb7f491b192f45cf8fccd83a;2;Mercedes-Benz;C 300;2020;2023;245 hp;Diesel
33b25a8340f1d664cb22bd9bc3e25d4bf37c0032d2d8517e611521679dbdb038;2;Dodge;Challenger;2021;2025;377 hp;Benzin
ff83011577a00abf5898f3f110fa6934d49d090f25f9b7bd8e9d63017a8da541;2;BMW;M235;2025;2025;300 hp;Benzin
696d6a9cf301bf106b349314173d6ecc0a1b4c6fde0cdf1f7ba82e85180310c8;2;Genesis;G70;2022;2024;200 hp;Diesel
18b2db782ad4ccdba0baebd5fba512494a39c8bb5c3d83d0860b7f960df2ccbc;2;BMW;M2;2020;2020;411 hp;Benzin
6210d4dcbd4ef972ca68fc094f6e46519f51bc52cd2f136049bb37cd81b5e9d0;2;Audi;A4;2024;2024;286 hp;Diesel
f06cf5c61af6c70ad2baf535cdc9a5b0006b7c02f0fd135c94b84cfffd20ef7c;2;Audi;S3;2025;2025;333 hp;Benzin
903ef00ed0d5496d509744490c169e002ff52fae874e6e812d8e4e6976c06e83;2;BMW;1er M Coupé;2011;2013;400 hp;Benzin
3d75a9ab6c3f213f088e40feec57d43ea2889bbbf6be8f0ca7ecc51707796285;2;Ford;Mustang;2021;2022;466 hp;Benzin
3519f617e6f638670201422672cb031fba3f1fbb7ae903b9b5752ba32eb48a83;2;Audi;A4 Allroad;2022;2024;204 hp;Diesel
90c87ade7ee369c8144858395e757f7d768060e60ef421947f5aad63b6900475;2;BMW;M340d;2021;2022;340 hp;Diesel
fe87ba57c7fbbf189e2b4a89b7bb6acd47b7828b280e98ec1348606697c25982;2;BMW;1er M Coupé;2010;2010;122 hp;Benzin
02e1f64232d3fd74f722b3e7aa2973f079fcb6004a02f12a1e01c77272983b43;2;Ford;Mustang;2020;2022;314 hp;Benzin
53b6c3511f76a39dfbc4c0aad657bb828e53610f38ffb1fe55f2295d8014b659;2;Ford;Mustang;2021;2023;449 hp;Benzin
774ad260842fc0238cca21a80ac20ba93d45ad95bface0ec6ae8468c0034ae45;2;BMW;430 Gran Coupé;2022;2025;245 hp;Benzin
42a1cd641b318df448d04ee919bef8aad40a7cd4d98bf2c4f0ec310bb83dbef3;1;Audi;A4;2020;2020;245 hp;Benzin
c7a932ceeb28be28a13b4480747f27709e07541295ecf35534a4c3b071219370;1;Ford;Mustang;2025;2025;317 hp;Benzin
